Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Female),0.167,4144,4148,02:18,02:18
WingExt,Fly 0 (Male),0.167,4146,4150,02:18,02:18
Circling,Fly 1 (Female),0.333,4147,4156,02:18,02:19
WingExt,Fly 0 (Male),0.2,4153,4158,02:18,02:19
WingExt,Fly 0 (Male),0.3,4160,4168,02:19,02:19
Circling,Fly 1 (Female),0.3,4164,4172,02:19,02:19
WingExt,Fly 1 (Female),0.1,4165,4167,02:19,02:19
WingExt,Fly 1 (Female),0.1,4175,4177,02:19,02:19
WingExt,Fly 0 (Male),0.1,4177,4179,02:19,02:19
WingExt,Fly 0 (Male),0.1,4181,4183,02:19,02:19
WingExt,Fly 0 (Male),0.267,4198,4205,02:20,02:20
WingExt,Fly 1 (Female),0.167,4213,4217,02:20,02:21
WingExt,Fly 0 (Male),0.167,4220,4224,02:21,02:21
WingExt,Fly 0 (Male),0.1,4226,4228,02:21,02:21
WingExt,Fly 0 (Male),0.1,4230,4232,02:21,02:21
WingExt,Fly 0 (Male),0.1,4234,4236,02:21,02:21
WingExt,Fly 1 (Female),0.367,4249,4259,02:22,02:22
WingExt,Fly 1 (Female),0.367,4266,4276,02:22,02:23
Circling,Fly 1 (Female),0.333,4277,4286,02:23,02:23
WingExt,Fly 0 (Male),0.167,4289,4293,02:23,02:23
WingExt,Fly 0 (Male),0.1,4295,4297,02:23,02:23
WingExt,Fly 0 (Male),0.1,4306,4308,02:24,02:24
WingExt,Fly 0 (Male),0.2,4310,4315,02:24,02:24
WingExt,Fly 0 (Male),0.133,4332,4335,02:24,02:24
WingExt,Fly 0 (Male),0.133,4343,4346,02:25,02:25
WingExt,Fly 1 (Female),0.133,4345,4348,02:25,02:25
WingExt,Fly 0 (Male),0.167,4356,4360,02:25,02:25
WingExt,Fly 0 (Male),0.167,4368,4372,02:26,02:26
WingExt,Fly 1 (Female),0.233,4372,4378,02:26,02:26
WingExt,Fly 0 (Male),0.133,4381,4384,02:26,02:26
WingExt,Fly 0 (Male),0.1,4386,4388,02:26,02:26
Circling,Fly 0 (Male),0.333,4403,4412,02:27,02:27
WingExt,Fly 1 (Female),0.1,4411,4413,02:27,02:27
Circling,Fly 1 (Female),0.667,4423,4442,02:27,02:28
WingExt,Fly 1 (Female),0.133,4456,4459,02:29,02:29
WingExt,Fly 0 (Male),0.133,4457,4460,02:29,02:29
WingExt,Fly 0 (Male),0.1,4464,4466,02:29,02:29
WingExt,Fly 1 (Female),0.3,4466,4474,02:29,02:29
WingExt,Fly 1 (Female),0.1,4488,4490,02:30,02:30
WingExt,Fly 0 (Male),0.2,4609,4614,02:34,02:34
WingExt,Fly 0 (Male),0.133,4660,4663,02:35,02:35
WingExt,Fly 0 (Male),0.133,4676,4679,02:36,02:36
WingExt,Fly 0 (Male),0.133,4683,4686,02:36,02:36
WingExt,Fly 1 (Female),0.1,4711,4713,02:37,02:37
WingExt,Fly 1 (Female),0.267,4715,4722,02:37,02:37
WingExt,Fly 1 (Female),0.1,4726,4728,02:38,02:38
WingExt,Fly 1 (Female),0.1,4730,4732,02:38,02:38
WingExt,Fly 1 (Female),0.1,4737,4739,02:38,02:38
Circling,Fly 0 (Male),0.367,4808,4818,02:40,02:41
WingExt,Fly 1 (Female),0.1,4819,4821,02:41,02:41
WingExt,Fly 1 (Female),0.1,4842,4844,02:41,02:41
WingExt,Fly 1 (Female),0.1,4867,4869,02:42,02:42
WingExt,Fly 1 (Female),0.133,4908,4911,02:44,02:44
Circling,Fly 1 (Female),0.433,4913,4925,02:44,02:44
WingExt,Fly 0 (Male),0.333,4929,4938,02:44,02:45
WingExt,Fly 0 (Male),0.133,4942,4945,02:45,02:45
WingExt,Fly 1 (Female),0.233,4951,4957,02:45,02:45
WingExt,Fly 0 (Male),0.2,4953,4958,02:45,02:45
WingExt,Fly 1 (Female),0.1,4959,4961,02:45,02:45
WingExt,Fly 1 (Female),0.2,4963,4968,02:45,02:46
WingExt,Fly 1 (Female),0.1,4982,4984,02:46,02:46
WingExt,Fly 1 (Female),0.1,5021,5023,02:47,02:47
WingExt,Fly 0 (Male),0.133,5041,5044,02:48,02:48
WingExt,Fly 0 (Male),0.167,5046,5050,02:48,02:48
WingExt,Fly 0 (Male),0.133,5059,5062,02:49,02:49
WingExt,Fly 0 (Male),0.1,5102,5104,02:50,02:50
WingExt,Fly 0 (Male),0.233,5108,5114,02:50,02:50
WingExt,Fly 0 (Male),0.3,5124,5132,02:51,02:51
WingExt,Fly 1 (Female),0.2,5126,5131,02:51,02:51
WingExt,Fly 1 (Female),0.133,5141,5144,02:51,02:51
WingExt,Fly 0 (Male),0.133,5143,5146,02:51,02:52
Circling,Fly 1 (Female),0.433,5148,5160,02:52,02:52
WingExt,Fly 0 (Male),0.133,5156,5159,02:52,02:52
Circling,Fly 0 (Male),0.433,5163,5175,02:52,02:52
WingExt,Fly 0 (Male),0.1,5171,5173,02:52,02:52
