Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Male),0.2,4137,4142,02:18,02:18
Circling,Fly 1 (Male),0.367,4143,4153,02:18,02:18
Circling,Fly 0 (Female),0.467,4146,4159,02:18,02:19
WingExt,Fly 1 (Male),0.133,4162,4165,02:19,02:19
Circling,Fly 0 (Female),0.3,4165,4173,02:19,02:19
WingExt,Fly 1 (Male),0.3,4167,4175,02:19,02:19
WingExt,Fly 0 (Female),0.1,4169,4171,02:19,02:19
Circling,Fly 0 (Female),0.7,4183,4203,02:19,02:20
WingExt,Fly 1 (Male),0.133,4195,4198,02:20,02:20
WingExt,Fly 1 (Male),0.167,4202,4206,02:20,02:20
Circling,Fly 1 (Male),0.333,4206,4215,02:20,02:20
Circling,Fly 1 (Male),0.533,4220,4235,02:21,02:21
WingExt,Fly 0 (Female),0.1,4235,4237,02:21,02:21
Circling,Fly 0 (Female),0.367,4235,4245,02:21,02:22
WingExt,Fly 1 (Male),0.133,4241,4244,02:21,02:21
WingExt,Fly 0 (Female),0.2,4245,4250,02:22,02:22
WingExt,Fly 1 (Male),0.433,4251,4263,02:22,02:22
WingExt,Fly 0 (Female),0.1,4256,4258,02:22,02:22
WingExt,Fly 0 (Female),0.133,4264,4267,02:22,02:22
Circling,Fly 1 (Male),0.3,4268,4276,02:22,02:23
WingExt,Fly 1 (Male),0.633,4269,4287,02:22,02:23
WingExt,Fly 0 (Female),0.1,4272,4274,02:22,02:22
Circling,Fly 1 (Male),0.933,4279,4306,02:23,02:24
Circling,Fly 0 (Female),0.467,4288,4301,02:23,02:23
WingExt,Fly 1 (Male),0.2,4307,4312,02:24,02:24
Circling,Fly 1 (Male),0.333,4312,4321,02:24,02:24
WingExt,Fly 1 (Male),0.3,4314,4322,02:24,02:24
WingExt,Fly 0 (Female),0.133,4322,4325,02:24,02:24
Circling,Fly 0 (Female),0.3,4339,4347,02:25,02:25
WingExt,Fly 1 (Male),0.167,4341,4345,02:25,02:25
Circling,Fly 1 (Male),0.4,4342,4353,02:25,02:25
WingExt,Fly 1 (Male),0.2,4357,4362,02:25,02:25
WingExt,Fly 1 (Male),0.2,4364,4369,02:25,02:26
Circling,Fly 1 (Male),0.433,4366,4378,02:26,02:26
WingExt,Fly 0 (Female),0.1,4378,4380,02:26,02:26
Circling,Fly 1 (Male),0.433,4381,4393,02:26,02:26
Circling,Fly 0 (Female),0.7,4383,4403,02:26,02:27
Circling,Fly 1 (Male),0.3,4396,4404,02:27,02:27
Circling,Fly 1 (Male),0.467,4408,4421,02:27,02:27
WingExt,Fly 0 (Female),0.2,4409,4414,02:27,02:27
Circling,Fly 0 (Female),0.567,4409,4425,02:27,02:28
